Lat,Long_,FIPS
+41.9158651,-096.7885168,31039
+46.2946377,-123.4244583,53069
+34.3592729,-104.3686961,35011
+40.7835474,-096.6886584,31109
+40.1764918,-098.0468422,31129
+18.1871483,-065.8711890,72085
+43.6674723,-096.7957261,46099
+30.8843921,-099.8539616,48327
+39.5769252,-120.5219926,06091
+36.7272577,-085.1360977,21053
+41.0004711,-083.6660335,39063
+34.0684364,-101.8228879,48189
+33.2703999,-085.8635254,01027
+34.9641790,-101.3566363,48011
+40.7716274,-084.1061032,39003
+33.4796231,-082.4787331,13189
+43.4279976,-089.9433290,55111
+35.8570169,-092.1405080,05137
+45.5937530,-117.1855796,41063
+40.6841401,-080.3507209,42007
+32.0169894,-089.1194302,28061
+38.3864909,-093.7926278,29083
+38.0316514,-106.2346662,08109
+35.7049939,-079.2514542,37037
+41.6275976,-111.2402269,49033
+35.8980428,-094.6510258,40001
+41.9241163,-081.3926429,39085
+37.2853329,-080.0552407,51775
+37.1755344,-080.3877913,51121
+35.1607616,-085.1977114,47065
+32.5887755,-105.7809799,35035
+33.9018583,-108.3920882,35003
+32.2475911,-087.7910910,01091
+42.2299932,-110.6829614,56023
+37.5007989,-094.3440893,29011
+28.4417191,-096.5795739,48057
+37.1283599,-076.3035337,51735
+38.3326060,-080.0101207,54075
+33.7859042,-098.2129174,48077
+37.3248367,-076.7778878,51095
+41.1942448,-101.6444493,31101
+40.5163647,-099.4065568,31137
+30.2295588,-093.3580154,22019
+32.8293486,-092.3756501,22111
+35.5024345,-094.7507569,40135
+34.4609290,-085.8039920,01049
+42.2667252,-077.3855253,36101
+41.5133040,-079.2497050,42053
+30.6215802,-090.4066329,22105
+38.4153998,-077.4548785,51179
+45.5382374,-087.4929489,26109
+41.0176883,-087.1188137,18073
+31.1973339,-081.9829779,13025
+33.0744605,-084.1467208,13171
+41.6434670,-085.0024051,18151
+30.1223229,-093.8940999,48361
+39.5552462,-083.4618927,39047
+42.3394593,-072.6636936,25015
+36.7507703,-086.1924580,21003
+36.0439535,-079.4005733,37001
+37.8793472,-096.2417321,20073
+42.3385513,-071.0182530,25025
+43.7969649,-112.3185879,16051
+29.4619121,-097.4919205,48177
+35.1334215,-085.6183990,47115
+44.8949540,-083.4265739,26007
+36.8020113,-084.8304404,21231
+35.9270486,-085.4557854,47185
+33.5911611,-096.1049882,48147
+39.7885021,-095.1472253,20043
+30.0599530,-099.3533388,48265
+28.5730426,-082.4662272,12053
+30.1403575,-084.3751122,12129
+30.6312106,-086.1766139,12131
+33.9216539,-088.9458075,28017
+55.4499378,-131.1066847,02130
+43.9911368,-084.8383253,26035
+39.8289103,-097.6509213,20157
+29.0577690,-081.1617920,12127
+35.5434100,-097.9798435,40017
+18.4663570,-066.9276025,72115
+18.3267484,-064.9712505,78030
+34.2636918,-085.2136851,13115
+39.5377100,-118.2641654,32001
+40.1806461,-098.4985897,31181
+40.4057924,-091.1679875,17067
+43.3367101,-097.7493828,46067
